useless,id,keywords
11472,1646.0,"[{'id': 577, 'name': 'black people'}, {'id': 818, 'name': 'based on novel'}, {'id': 1739, 'name': 'holocaust'}, {'id': 2394, 'name': 'ghetto'}, {'id': 2913, 'name': 'diary'}, {'id': 4508, 'name': 'principal witness '}, {'id': 5565, 'name': 'biography'}, {'id': 5600, 'name': 'daughter'}, {'id': 6270, 'name': 'high school'}, {'id': 6984, 'name': 'racial segregation'}, {'id': 6985, 'name': 'anne frank'}, {'id': 6986, 'name': 'school excursion'}, {'id': 6987, 'name': 'idealism'}, {'id': 7920, 'name': 'violence in schools'}, {'id': 41385, 'name': 'racial tension'}, {'id': 181858, 'name': 'gang violence'}, {'id': 185722, 'name': 'based on true events'}]"
11497,14396.0,[]
11521,8398.0,"[{'id': 11546, 'name': 'hitchhiker'}, {'id': 14676, 'name': 'series of murders'}, {'id': 167043, 'name': 'road movie'}]"
11537,1265.0,"[{'id': 1155, 'name': 'brother sister relationship'}, {'id': 6054, 'name': 'friendship'}, {'id': 6733, 'name': 'bullying'}, {'id': 10226, 'name': 'neighbor'}, {'id': 10873, 'name': 'school'}, {'id': 13151, 'name': 'drawing'}, {'id': 15101, 'name': ""based on children's book""}, {'id': 166287, 'name': 'school bus'}, {'id': 170344, 'name': 'imagination'}, {'id': 170345, 'name': 'creek'}, {'id': 170350, 'name': 'clubhouse'}, {'id': 170351, 'name': 'reality vs fantasy'}, {'id': 170356, 'name': 'outsider'}, {'id': 170362, 'name': 'fantasy world'}, {'id': 204383, 'name': 'overflowing with imagination'}]"
11547,10758.0,"[{'id': 828, 'name': 'waitress'}, {'id': 8650, 'name': 'unwillingly pregnant'}, {'id': 187056, 'name': 'woman director'}]"
11558,9966.0,"[{'id': 3914, 'name': 'kitchen'}, {'id': 9409, 'name': 'north dakota'}, {'id': 9736, 'name': 'little boy'}, {'id': 11004, 'name': 'rural setting'}, {'id': 18253, 'name': 'moving'}, {'id': 46952, 'name': 'heavy rain'}, {'id': 156390, 'name': 'face slap'}, {'id': 156780, 'name': 'sunflower'}, {'id': 166109, 'name': 'child murder'}, {'id': 166484, 'name': 'raven'}, {'id': 170646, 'name': 'death threat'}, {'id': 185135, 'name': 'filicide'}, {'id': 185140, 'name': 'animated title sequence'}]"
11559,1257.0,"[{'id': 456, 'name': 'mother'}, {'id': 953, 'name': 'guitar'}, {'id': 1156, 'name': 'sister sister relationship'}, {'id': 1189, 'name': 'profession'}, {'id': 1605, 'name': 'new love'}, {'id': 2301, 'name': 'architect'}, {'id': 2784, 'name': 'mother role'}, {'id': 5444, 'name': 'lonely hearts ad'}, {'id': 5458, 'name': 'men'}, {'id': 6098, 'name': 'clothing'}, {'id': 9457, 'name': 'single'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 12670, 'name': 'los angeles'}, {'id': 15479, 'name': 'fashion'}, {'id': 33479, 'name': 'single father'}]"
11561,9757.0,"[{'id': 6783, 'name': 'orphanage'}, {'id': 8663, 'name': 'overweight woman'}]"
11567,2062.0,"[{'id': 90, 'name': 'paris'}, {'id': 380, 'name': 'brother brother relationship'}, {'id': 996, 'name': 'expensive restaurant'}, {'id': 1261, 'name': 'river'}, {'id': 1650, 'name': 'cook'}, {'id': 2161, 'name': 'mouse'}, {'id': 2246, 'name': 'confidence'}, {'id': 2405, 'name': 'roof'}, {'id': 2872, 'name': 'window'}, {'id': 2982, 'name': ""leaving one's family""}, {'id': 3640, 'name': 'work'}, {'id': 3910, 'name': 'restaurant critic'}, {'id': 3914, 'name': 'kitchen'}, {'id': 6074, 'name': 'spice'}, {'id': 6148, 'name': 'court'}, {'id': 6808, 'name': 'cookbook'}, {'id': 18035, 'name': 'family'}, {'id': 18293, 'name': 'chef'}, {'id': 189359, 'name': 'rat'}]"
11592,1250.0,"[{'id': 3684, 'name': 'religion and supernatural'}, {'id': 3737, 'name': 'dying and death'}, {'id': 4084, 'name': ""devil's son""}, {'id': 5280, 'name': 'ghost world'}, {'id': 5452, 'name': 'stunts'}, {'id': 5454, 'name': 'flame'}, {'id': 9717, 'name': 'based on comic'}, {'id': 15001, 'name': 'demon'}]"
